rank,strategy_id,tier,instrument,timeframe,total_trades,qualified,composite_score,net_profit,sharpe_ratio,profit_factor,max_drawdown_pct,win_rate,status
223,factory_trad_cci_meanrev_v1,traditional_gen1,USDCAD,H1,528,1,0.2291,792.3,0.304,1.028,20.92,0.502,ok
224,factory_trad_sma_trend_v1,traditional_gen1,EURUSD,H4,296,1,0.229,-1878.12,-1.02,0.833,25.27,0.226,ok
225,factory_trad_rsi_meanrev_v1,traditional_gen1,GBPUSD,H4,84,1,0.2289,-293.45,-0.388,0.941,12.87,0.405,ok
226,factory_trad_price_vs_ma_v1,traditional_gen1,GBPUSD,H1,1804,1,0.2287,-7202.33,-1.276,0.798,72.34,0.234,ok
227,factory_hyb_sma_adx_v1,hybrid_gen1,USDJPY,H4,44,0,0.228,-72.87,-1.168,0.836,2.33,0.318,ok
228,factory_trad_psar_v1,traditional_gen1,GBPUSD,H4,280,1,0.228,-2091.2,-1.293,0.816,23.05,0.364,ok
229,factory_trad_sma_trend_v1,traditional_gen1,AUDUSD,H1,1168,1,0.2279,-5422.53,-1.049,0.831,55.77,0.216,ok
230,factory_trad_vwap_bias_v1,traditional_gen1,EURUSD,H4,426,1,0.2279,-2528.55,-1.208,0.8,27.81,0.254,ok
231,factory_trad_atr_trail_v1,traditional_gen1,AUDUSD,H1,1260,1,0.2277,-5589.2,-1.054,0.828,56.67,0.21,ok
232,factory_trad_ema_trend_v1,traditional_gen1,AUDUSD,H1,1268,1,0.2275,-5508.49,-1.023,0.833,55.88,0.211,ok
233,factory_trad_vwap_bias_v1,traditional_gen1,EURUSD,H1,1586,1,0.2273,-6614.95,-1.155,0.837,67.16,0.266,ok
234,factory_trad_macd_zero_v1,traditional_gen1,EURUSD,H4,209,1,0.2272,-587.06,-0.292,0.942,19.53,0.325,ok
235,factory_trad_pivot_bounce_v1,traditional_gen1,AUDUSD,H1,4240,1,0.2272,-8314.28,-1.211,0.812,83.72,0.38,ok
236,factory_trad_sr_breakout_v1,traditional_gen1,AUDUSD,H1,282,1,0.2272,-2160.12,-0.966,0.861,26.34,0.337,ok
237,factory_trad_donchian_breakout_v1,traditional_gen1,NZDUSD,H4,118,1,0.227,-292.99,-0.221,0.953,15.31,0.364,ok
238,factory_trad_sma_crossover_v1,traditional_gen1,USDCAD,H4,56,0,0.2269,-806.51,-1.865,0.752,8.32,0.286,ok
239,factory_trad_atr_breakout_v1,traditional_gen1,AUDUSD,H1,789,1,0.2268,-6370.45,-1.912,0.772,65.44,0.33,ok
240,factory_trad_rsi_trend_v1,traditional_gen1,AUDUSD,H1,778,1,0.2268,-5947.27,-1.512,0.794,61.9,0.288,ok
241,factory_trad_pivot_bounce_v1,traditional_gen1,USDCAD,H1,2250,1,0.2264,-5952.01,-1.123,0.802,64.06,0.36,ok
242,factory_hyb_sma_adx_v1,hybrid_gen1,EURUSD,H4,50,0,0.2263,-1018.08,-2.557,0.681,16.06,0.28,ok
243,factory_hyb_ema_macd_v1,hybrid_gen1,GBPUSD,H4,105,1,0.2257,-866.42,-1.115,0.831,14.45,0.295,ok
244,factory_trad_ema_crossover_v1,traditional_gen1,GBPUSD,H4,105,1,0.2257,-866.42,-1.115,0.831,14.45,0.295,ok
245,factory_trad_rsi_trend_v1,traditional_gen1,GBPUSD,H1,772,1,0.2256,-5568.53,-1.343,0.813,56.17,0.289,ok
246,factory_trad_ema_trend_v1,traditional_gen1,EURUSD,H1,1311,1,0.2254,-6094.82,-1.145,0.812,62.83,0.214,ok
247,factory_trad_atr_trail_v1,traditional_gen1,EURUSD,H1,1302,1,0.2252,-6112.96,-1.156,0.81,62.96,0.211,ok
248,factory_hyb_bb_rsi_v1,hybrid_gen1,NZDUSD,H1,373,1,0.225,-3227.53,-1.373,0.834,39.89,0.386,ok
249,factory_trad_pivot_bounce_v1,traditional_gen1,USDCAD,H4,548,1,0.2249,5.37,0.047,1.001,16.94,0.405,ok
250,factory_trad_price_vs_ma_v1,traditional_gen1,EURUSD,H1,1765,1,0.2249,-6738.36,-1.153,0.8,68.01,0.245,ok
251,factory_trad_price_vs_ma_v1,traditional_gen1,USDCHF,H1,1794,1,0.2247,-6768.06,-1.17,0.805,68.81,0.24,ok
252,factory_trad_vwap_bias_v1,traditional_gen1,GBPUSD,H1,1629,1,0.2246,-6068.33,-0.941,0.849,61.82,0.262,ok
253,factory_trad_adx_trend_v1,traditional_gen1,AUDUSD,H1,453,1,0.2244,-3427.66,-1.173,0.833,38.28,0.311,ok
254,factory_trad_price_vs_ma_v1,traditional_gen1,AUDUSD,H1,1761,1,0.2244,-6503.13,-1.134,0.811,65.47,0.241,ok
255,factory_trad_adx_trend_v1,traditional_gen1,GBPUSD,H4,140,1,0.2243,-1552.37,-1.582,0.771,22.21,0.271,ok
256,factory_trad_bb_breakout_v1,traditional_gen1,GBPUSD,H1,510,1,0.2242,-4224.4,-1.32,0.821,43.65,0.32,ok
257,factory_trad_price_vs_ma_v1,traditional_gen1,NZDUSD,H1,1828,1,0.224,-7792.06,-1.622,0.747,78.79,0.23,ok
258,factory_trad_sma_trend_v1,traditional_gen1,EURUSD,H1,1161,1,0.224,-5284.93,-0.969,0.845,55.12,0.228,ok
259,factory_trad_stochastic_v1,traditional_gen1,GBPUSD,H4,233,1,0.2239,457.08,0.365,1.034,21.7,0.485,ok
260,factory_hyb_stoch_trend_v1,hybrid_gen1,EURUSD,H1,287,1,0.2238,-2896.16,-1.549,0.805,38.33,0.366,ok
261,factory_trad_atr_breakout_v1,traditional_gen1,NZDUSD,H1,750,1,0.2236,-5960.4,-1.801,0.759,61.24,0.339,ok
262,factory_trad_donchian_breakout_v1,traditional_gen1,AUDUSD,H1,483,1,0.2236,-4379.67,-1.43,0.813,46.06,0.308,ok
263,factory_trad_pivot_bounce_v1,traditional_gen1,USDCHF,H1,4345,1,0.2235,-9167.21,-1.674,0.759,92.32,0.359,ok
264,factory_trad_donchian_breakout_v1,traditional_gen1,GBPUSD,H1,489,1,0.2234,-4934.97,-1.733,0.765,50.94,0.315,ok
265,factory_trad_sma_crossover_v1,traditional_gen1,GBPUSD,H4,119,1,0.2229,-1953.24,-2.555,0.672,19.53,0.303,ok
266,factory_trad_psar_v1,traditional_gen1,USDCHF,H1,1022,1,0.2226,-6132.04,-1.439,0.796,65.8,0.352,ok
267,factory_trad_psar_v1,traditional_gen1,USDCAD,H4,132,1,0.2225,-1209.44,-1.63,0.774,12.8,0.409,ok
268,factory_trad_vwap_bias_v1,traditional_gen1,NZDUSD,H1,1657,1,0.2224,-7401.13,-1.538,0.758,74.99,0.233,ok
269,factory_trad_pivot_bounce_v1,traditional_gen1,EURUSD,H1,4246,1,0.2223,-8149.67,-1.078,0.822,82.11,0.373,ok
270,factory_trad_sma_trend_v1,traditional_gen1,GBPUSD,H1,1114,1,0.2223,-6026.43,-1.264,0.807,60.94,0.221,ok
271,factory_trad_sma_trend_v1,traditional_gen1,AUDUSD,H4,280,1,0.2223,-576.68,-0.271,0.943,21.69,0.232,ok
272,factory_hyb_keltner_adx_v1,hybrid_gen1,GBPUSD,H1,278,1,0.2217,-4079.1,-2.339,0.713,41.41,0.299,ok
273,factory_trad_psar_v1,traditional_gen1,NZDUSD,H1,1034,1,0.2216,-3988.28,-0.733,0.885,44.81,0.381,ok
274,factory_hyb_bb_rsi_v1,hybrid_gen1,EURUSD,H1,425,1,0.2215,-44.46,0.079,0.998,17.9,0.426,ok
275,factory_trad_psar_v1,traditional_gen1,AUDUSD,H1,1058,1,0.2212,-4536.55,-0.877,0.868,46.04,0.363,ok
276,factory_trad_macd_zero_v1,traditional_gen1,NZDUSD,H4,211,1,0.2211,-1715.43,-1.157,0.818,26.43,0.28,ok
277,factory_trad_macd_cross_v1,traditional_gen1,NZDUSD,H4,231,1,0.221,-126.92,-0.0,0.988,13.8,0.346,ok
